
,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
263,College of Charleston,CAA,-9.57,2.68,-6.89,92.65,102.17,-9.53
264,Brown,Ivy,-0.95,-6.04,-6.99,96.18,105.57,-9.40
265,Seattle,WAC,-7.39,0.25,-7.15,95.21,104.21,-9.00
266,Sacred Heart,NEC,3.23,-10.38,-7.16,98.70,108.06,-9.37
267,Nebraska-Omaha,Summit,7.53,-14.77,-7.25,99.09,108.65,-9.55
268,North Carolina-Asheville,Big South,0.19,-7.44,-7.26,97.56,107.26,-9.71
269,Weber State,Big Sky,-5.70,-1.57,-7.27,96.57,106.38,-9.81
270,Youngstown State,Horizon,3.03,-10.45,-7.41,101.95,111.54,-9.59
271,Southern Illinois-Edwardsville,OVC (West),-3.80,-3.66,-7.46,92.79,103.13,-10.34
272,Florida International,CUSA,-6.15,-1.38,-7.53,92.33,102.12,-9.78
273,Delaware,CAA,-1.70,-5.85,-7.55,97.16,107.27,-10.11
274,Florida Atlantic,CUSA,-5.19,-2.42,-7.61,95.71,106.03,-10.32
275,Navy,Patriot,-8.36,0.72,-7.64,95.22,106.32,-11.10
276,Illinois-Chicago,Horizon,-3.24,-4.48,-7.72,96.67,107.28,-10.61
277,Portland State,Big Sky,-1.11,-6.68,-7.78,97.79,108.59,-10.79
278,North Carolina-Greensboro,Southern,-2.51,-5.33,-7.85,96.48,107.42,-10.94
279,Missouri-Kansas City,WAC,-5.00,-3.02,-8.02,93.69,105.17,-11.48
280,Pennsylvania,Ivy,-5.95,-2.17,-8.12,93.91,105.93,-12.02
,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
281,IUPUI,Summit,-7.27,-1.07,-8.34,90.47,101.73,-11.26
282,Cal State Fullerton,Big West,-2.57,-5.79,-8.35,95.05,106.23,-11.18
283,Hartford,AEC,-6.61,-1.75,-8.36,93.20,104.56,-11.36
284,Fairfield,MAAC,-8.43,-0.13,-8.55,91.75,104.11,-12.36
285,Alabama State,SWAC,-2.17,-6.66,-8.83,93.63,105.49,-11.86
286,Troy,Sun Belt,-3.77,-5.08,-8.85,96.10,107.90,-11.80
287,Long Island University,NEC,-2.25,-6.68,-8.93,93.13,105.21,-12.08
288,Hampton,MEAC,-2.80,-6.25,-9.05,91.05,103.97,-12.91
289,Niagara,MAAC,-3.50,-5.55,-9.05,95.82,108.34,-12.52
290,Samford,Southern,-1.72,-7.61,-9.33,96.79,109.49,-12.70
291,Lamar,Southland,-2.90,-6.58,-9.48,95.27,107.56,-12.30
292,South Alabama,Sun Belt,1.11,-10.68,-9.57,96.90,110.09,-13.20
293,Virginia Military Institute,Southern,8.47,-18.11,-9.64,95.00,106.45,-11.45
294,McNeese State,Southland,-5.19,-4.46,-9.66,96.92,109.79,-12.87
295,Southern,SWAC,-8.45,-1.29,-9.74,88.15,101.18,-13.03
296,Howard,MEAC,-10.63,0.85,-9.78,88.29,101.74,-13.44
297,Southern Mississippi,CUSA,-7.71,-2.19,-9.91,93.97,108.82,-14.86
298,Appalachian State,Sun Belt,-5.62,-4.31,-9.94,92.78,106.16,-13.38
299,Arkansas State,Sun Belt,-6.02,-4.22,-10.24,90.60,104.33,-13.73
300,Delaware State,MEAC,-1.03,-9.29,-10.31,96.53,109.44,-12.91
,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
301,Marist,MAAC,-7.97,-2.38,-10.34,91.12,105.53,-14.41
302,Furman,Southern,-6.78,-3.68,-10.46,95.63,110.79,-15.16
303,Loyola (MD),Patriot,-8.86,-1.65,-10.51,88.87,104.70,-15.84
304,Lipscomb,A-Sun,0.45,-10.98,-10.53,96.66,111.18,-14.52
305,Prairie View,SWAC,-2.81,-7.80,-10.62,91.90,107.21,-15.30
306,Southeastern Louisiana,Southland,-4.26,-6.38,-10.64,92.67,106.71,-14.04
307,Massachusetts-Lowell,AEC,-8.22,-2.79,-11.01,90.44,106.40,-15.96
308,Campbell,Big South,-9.60,-1.49,-11.09,93.36,109.15,-15.79
309,Wagner,NEC,-1.38,-9.90,-11.28,94.78,110.39,-15.62
310,Idaho State,Big Sky,-7.19,-4.35,-11.54,92.72,109.15,-16.43
311,New Orleans,Southland,-2.57,-8.98,-11.56,93.29,108.69,-15.39
312,Southern Utah,Big Sky,-1.70,-10.29,-11.99,94.63,111.03,-16.39
313,Fairleigh Dickinson,NEC,-3.00,-9.02,-12.02,93.27,110.17,-16.91
314,North Dakota,Big Sky,-3.04,-9.19,-12.23,92.32,109.12,-16.80
315,Jackson State,SWAC,-11.01,-1.23,-12.24,86.41,102.91,-16.50
316,Austin Peay,OVC (West),-5.66,-6.93,-12.59,90.68,108.08,-17.40
317,Jacksonville State,OVC (East),-8.59,-4.14,-12.73,89.56,107.49,-17.93
