Rk,School,Conf,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
28,Nevada-Las Vegas,MWC,11.33,2.23,13.55,109.30,90.69,18.61
29,Iowa State,Big 12,8.91,4.41,13.32,113.51,93.88,19.63
30,Michigan,Big Ten,3.87,9.32,13.19,113.30,93.04,20.26
31,Cincinnati,Big East,4.55,8.38,12.93,108.71,89.74,18.98
32,Creighton,MVC,13.18,-0.26,12.92,118.57,99.92,18.65
33,Stanford,Pac-12,6.49,6.15,12.64,106.16,87.82,18.34
34,Virginia,ACC,-3.41,15.92,12.51,104.35,84.87,19.48
35,Connecticut,Big East,5.05,7.23,12.27,110.36,92.14,18.22
36,West Virginia,Big East,7.72,4.41,12.13,110.17,93.29,16.89
37,North Carolina State,ACC,9.17,2.94,12.10,111.44,93.63,17.81
38,Belmont,A-Sun,11.70,0.12,11.81,115.02,97.51,17.51
39,Saint Mary's (CA),WCC,6.01,5.25,11.26,112.22,95.44,16.78
40,Brigham Young,WCC,10.45,0.80,11.25,105.25,89.87,15.38
41,Notre Dame,Big East,2.42,8.76,11.18,109.77,92.75,17.02
42,Arizona,Pac-12,3.89,7.03,10.91,106.71,90.94,15.78
43,Washington,Pac-12,9.98,0.80,10.79,108.46,93.47,14.98
44,Miami (FL),ACC,5.76,4.99,10.75,110.45,94.20,16.25
45,Minnesota,Big Ten,4.80,5.90,10.70,107.83,91.65,16.18
46,UCLA,Pac-12,4.15,6.38,10.53,108.53,92.86,15.67
47,Temple,A-10,9.09,1.35,10.44,111.52,96.14,15.38
48,Seton Hall,Big East,3.45,6.78,10.23,106.40,90.71,15.69
49,Oregon,Pac-12,9.78,0.41,10.19,111.95,97.26,14.69
50,Xavier,A-10,5.95,3.64,9.59,106.31,92.18,14.13
51,Long Beach State,Big West,6.44,3.08,9.52,108.66,94.17,14.50
52,Tennessee,SEC,3.50,5.99,9.49,105.93,91.88,14.05
53,Pittsburgh,Big East,4.65,4.78,9.43,113.12,98.89,14.23
54,Illinois,Big Ten,1.83,7.50,9.33,104.17,90.16,14.00
55,South Florida,Big East,-5.08,14.28,9.20,103.15,88.93,14.21
56,Mississippi State,SEC,7.35,1.78,9.13,110.82,97.73,13.09
57,San Diego State,MWC,4.59,4.46,9.04,105.43,91.94,13.49
58,Virginia Tech,ACC,0.98,7.95,8.93,106.56,93.57,12.99
59,Northwestern,Big Ten,6.28,2.59,8.87,113.35,99.95,13.40
60,Oregon State,Pac-12,13.37,-4.54,8.84,109.47,97.62,11.85
61,Virginia Commonwealth,CAA,2.74,6.05,8.79,104.77,91.31,13.46
62,Murray State,OVC,3.25,5.49,8.74,105.50,92.05,13.45
63,New Mexico State,WAC,9.12,-0.39,8.73,107.14,95.13,12.01
64,Middle Tennessee,Sun Belt (East),3.84,4.85,8.69,105.90,93.14,12.75
65,La Salle,A-10,5.92,2.64,8.56,106.00,93.13,12.87
66,Dayton,A-10,6.87,1.61,8.48,110.90,98.00,12.91
